,service,qnt,cnt
159,Disney,Tim Allen,14
158,Netflix,Yoshitsugu Matsuoka,14
160,Netflix,Swapnil,14
156,Netflix,Katrina Kaif,14
155,Netflix,Demet Akbağ,14
154,Netflix,Kazuhiko Inoue,14
216,Netflix,Jim Broadbent,13
227,Prime,LB,13
217,Netflix,Julie Lemieux,13
218,Netflix,Vipin Sharma,13
219,Prime,Steven Seagal,13
220,Prime,Prabhu,13
221,Netflix,Brendan Gleeson,13
222,Netflix,Tina Mba,13
223,Netflix,Omoni Oboli,13
224,Disney,Wallace Shawn,13
225,Netflix,Stanley Tucci,13
226,Netflix,Mithun Chakraborty,13
238,Netflix,Rob Riggle,13
228,Netflix,David Koechner,13
229,Netflix,Jackie Chan,13
230,Netflix,Jamie Watson,13
231,Netflix,Eric Peterson,13
232,Netflix,Shahid Kapoor,13
233,Netflix,John C. Reilly,13
234,Netflix,Saori Hayami,13
235,Netflix,Laura Linney,13
236,Netflix,Abhishek Bachchan,13
237,Netflix,Ron Perlman,13
239,Netflix,Seema Biswas,13
214,Netflix,Ryan Reynolds,13
215,Netflix,Will Ferrell,13
204,Netflix,Amy Adams,13
213,Netflix,Kevin Hart,13
198,Netflix,Maaya Sakamoto,13
212,Prime,John Hurt,13
187,Netflix,Cindy Robinson,13
188,Netflix,Ray Liotta,13
189,Netflix,Nana Patekar,13
191,Netflix,Gerard Butler,13
192,Netflix,Cassandra Morris,13
193,Netflix,Rajit Kapoor,13
194,Netflix,Nassar,13
195,Netflix,Joan Cusack,13
196,Netflix,Graham Chapman,13
197,Netflix,Mohnish Bahl,13
190,Netflix,Ricky Gervais,13
199,Netflix,Mahesh Manjrekar,13
207,Netflix,Ahmed Helmy,13
211,Netflix,Liev Schreiber,13
200,Netflix,David Cross,13
210,Netflix,Terry Gilliam,13
208,Netflix,Fumiko Orikasa,13
209,Netflix,Tiffany Haddish,13
206,Netflix,Dennis Quaid,13
205,Netflix,James Marsden,13
203,Netflix,Rishi Kapoor,13
202,Prime,Manorama,13
201,Netflix,Cory Doran,13
299,Netflix,Susan Sarandon,12
291,Netflix,Tom Kenny,12
298,Prime,Yakima Canutt,12
297,Netflix,Ken Jeong,12
296,Disney,Dee Baker,12
295,Netflix,Bruce Greenwood,12
294,Netflix,Salma Hayek,12
293,Netflix,Judy Greer,12
292,Netflix,London Hughes,12
286,Prime,Suriya,12
290,Netflix,Steven Yeun,12
289,Netflix,Chris Parnell,12
288,Prime,Dolph Lundgren,12
287,Netflix,Martin Lawrence,12
285,Netflix,Anna Claire Bartlam,12
284,Netflix,Christina Hendricks,12
